Exhaust,Supply,Return,Outside
-25.2,9.6,20.8,-5.2
-24.7,9.5,20.7,-5.3
-25.4,9.5,20.7,-5.3
-25,9.5,20.8,-5.3
-24.9,9.6,20.8,-5.3
-25.6,9.6,20.7,-5.4
-24.8,9.7,20.8,-5.3
-25.1,9.6,20.7,-5.4
-25.4,9.5,20.7,-5.5
-24.7,9.5,20.8,-5.6
-25.3,9.4,20.8,-5.6
-25.6,9.4,20.6,-5.6
-24.8,9.2,20.7,-5.7
-25.4,9.2,20.7,-5.7
-25.4,9.1,20.7,-5.8
-24.7,9.1,20.5,-5.7
-25.3,9.1,20.6,-5.7
-25.5,9.1,20.5,-5.8
-16.3,9.4,20.9,-2.2
-14.2,10.4,21.1,0.8
-13.7,11.3,21.1,2.5
-12.9,12,21.3,3.8
-12.4,12.7,21.4,4.9
-12.6,13.2,21.3,5.7
-12,13.6,21.4,6.4
-11.3,14.2,21.4,7.4
-11.4,14.5,21.5,8.1
-11.2,14.8,21.5,8.6
-21.8,14.7,21.4,6
-23.6,12.8,21.2,1.5
-24.3,11.7,21.1,-0.6
-24.8,11,21,-2
-24.3,10.5,21,-2.7
-25.1,10.4,20.9,-3.1
-25.2,10,20.8,-3.8
-24.5,9.9,20.8,-4
-25.2,9.9,20.8,-3.9
-25.4,9.7,20.7,-4.2
-24.6,9.5,20.7,-4.5
-25.1,9.7,20.6,-4.5
-25.3,9.6,20.7,-4.9
-24.7,9.5,20.6,-4.9
-25.3,9.5,20.6,-5
-25.4,9.3,20.6,-5.3
-24.7,9.2,20.5,-5.3
-25.2,9.4,20.6,-5.2
-25.5,9.2,20.5,-5.5
-24.8,9.1,20.5,-5.6
-25.3,9.2,20.5,-5.4
-25.4,9.1,20.5,-5.7
-24.7,9,20.6,-5.7
-25.2,9.1,20.4,-5.6
-25,9,20.5,-5.7
-24.9,9,20.5,-5.7
-25.6,8.9,20.5,-5.8
-25.1,9,20.4,-5.8
-24.9,8.9,20.4,-5.8
-25.7,8.8,20.4,-5.9
-25.3,8.9,20.3,-5.8
-24.7,8.8,20.4,-5.9
-25.3,8.8,20.4,-5.7
-25.4,8.7,20.5,-5.9
-24.7,8.6,20.3,-6
-17.6,8.9,20.5,-3.8
-16.2,9.7,20.8,0.2
-14.9,10.7,20.9,1.6
-6.2,11.3,20.9,2.8
-4.7,12.1,21.1,4.1
-3.6,12.9,21.2,5.4
-3.2,13.5,21.2,6.3
-3.2,13.9,21.3,7.1
-2.8,14.5,21.2,8
-2,14.9,21.3,8.6
-16.3,15.2,21.3,8.1
-21.6,13.6,21.2,3.7
-23.6,12.2,21.1,0.7
-24.4,11.2,21,-1.2
-24.1,10.8,20.9,-2.1
-24.9,10.5,20.9,-2.7
-25.2,10.1,20.7,-3.5
-24.5,10,20.7,-3.8
-25.2,9.8,20.6,-4.1
-25.2,9.6,20.6,-4.6
-24.6,9.6,20.4,-4.2
-25.3,9.5,20.5,-4.4
-25.2,9.3,20.4,-4.9
-24.8,9.2,20.5,-5
-25.4,9.3,20.5,-5.1
-25.1,9.2,20.4,-5.4
-24.8,9.1,20.3,-5.4
-25.6,9.2,20.4,-5.4
-25.3,9,20.3,-5.7
-24.8,9.1,20.4,-5.5
-25.5,9,20.4,-5.7
-25.2,8.9,20.4,-5.9
-24.8,9,20.3,-5.6
-25.6,8.9,20.4,-5.8
-25.2,8.8,20.3,-6
-24.7,8.8,20.3,-5.9
-25.6,8.8,20.2,-5.9
-25.3,8.7,20.2,-6.1
-24.7,8.8,20.3,-5.9
-25.4,8.8,20.3,-5.9
-25.5,8.6,20.2,-6.2
-24.7,8.6,20.2,-6
-25.1,8.6,20.2,-6.1
-25.6,8.6,20.1,-6
-25,8.5,20,-6.3
-21.5,9,20,-4.9
-17.7,9.1,20.6,-1.1
-16,10.1,20.8,1
-15,11,20.8,2.5
-5.9,11.7,20.9,3.5
-4.9,12.3,21,4.5
-3.5,13,21,5.6
-3.9,13.5,21,6.4
-2.9,13.9,21.1,7.2
-2,14.5,21.2,8.1
-3.6,15,21.2,8.6
-20.3,14.3,21,5.3
-22.5,12.7,20.8,1.7
-24,11.5,20.8,-0.3
-23.9,11,20.7,-1.5
-23.9,10.6,20.6,-2.3
-24.7,10.4,20.5,-2.7
-24.5,10.1,20.5,-3.3
-24.1,9.9,20.4,-3.6
-24.8,9.8,20.5,-3.9
-24.7,9.8,20.4,-4.1
-24.2,9.7,20.4,-4.2
-24.9,9.5,20.3,-4.4
-24.7,9.4,20.4,-4.2
-24.1,9.5,20.3,-4.4
-24.9,9.4,20.2,-4.8
-24.8,9.4,20.3,-4.8
-24.2,9.3,20.2,-4.9
-24.7,9.4,20.3,-4.9
-25,9.3,20.4,-5.1
-24.4,9.2,20.2,-5.3
-24.5,9.3,20.2,-5
-24.9,9.2,20.1,-5.2
-24.4,9.1,20.1,-5.3
-24.4,9.1,20.2,-5.3
-25,9,20.1,-5.4
-24.4,9.1,20.2,-5.4
-24.3,9.1,20.1,-5.3
-25,9,20.1,-5.4
-24.4,9,20.1,-5.5
-24.4,9.1,20.1,-5.4
-25,9,20.1,-5.5
-24.5,8.9,20.1,-5.7
-24.4,8.9,20.1,-5.5
-25,8.9,20,-5.5
-24.5,8.8,20.1,-5.7
-18.1,9,20.3,-2.2
-16.7,10,20.5,0.8
-15.5,10.8,20.7,2.1
-14.7,11.6,20.7,3.6
-5.4,12.1,20.7,4.3
-4,12.7,20.8,5.2
-3.5,13.2,20.8,6.1
-3.7,13.7,21,7
-3.1,14.1,21,7.7
-1.9,14.7,21,8.6
-18.8,14.8,20.9,7
-21.8,13.1,20.8,2.8
-23.4,11.9,20.7,0.3
-24.1,11.2,20.6,-1
-23.8,10.8,20.5,-1.9
-24.4,10.5,20.5,-2.6
-24.7,10.2,20.4,-3.1
-24.1,10.1,20.4,-3.2
-24.4,10,20.3,-3.4
-24.8,9.8,20.2,-3.9
-24.3,9.7,20.2,-4
-24.3,9.7,20.1,-4.1
-24.9,9.6,20.2,-4.5
-24.5,9.5,20.2,-4.7
-24.3,9.6,20.2,-4.6
-24.9,9.5,20.1,-4.8
-24.5,9.3,20.2,-5
-24.3,9.5,20.1,-4.7
-24.9,9.4,20.1,-4.9
-24.6,9.4,20.1,-5
-24.1,9.3,20,-5
-24.7,9.2,20.1,-5.1
-24.9,9.2,20,-5.1
-24.3,9.2,20,-5.2
-24.5,9.3,20.1,-5.1
-24.9,9.1,20,-5.4
-24.4,9.1,20,-5.4
-24.4,9.2,19.9,-5.2
-24.9,9.1,20,-5.3
-24.5,8.9,20,-5.4
-24.3,9.1,19.9,-5.2
-24.7,9.1,19.9,-5.2
-24.4,8.9,20,-5.4
-24.3,8.9,19.9,-5.4
-24.7,9,19.9,-5.2
-19.6,9,20.2,-3.9
-16.5,9.7,20.4,0.1
-14.3,10.6,20.6,1.3
-6.5,11.3,20.6,2.8
-5.3,12,20.7,4.1
-4.1,12.6,20.7,5.2
-4,13.1,20.8,6
-3.6,13.7,20.9,6.8
-2.9,14.2,20.9,7.6
-2.5,14.5,20.9,8.3
-14.4,14.9,20.8,8.3
-20.7,13.8,20.7,4.4
-22.7,12.4,20.6,1.3
-23.7,11.4,20.4,-0.5
-23.5,10.9,20.5,-1.5
-23.7,10.7,20.3,-2
-24.3,10.5,20.3,-2.6
-24,10.2,20.3,-3.1
-23.9,10.1,20.1,-3.2
-24.5,10,20.1,-3.6
-24.2,9.8,20.1,-3.9
-23.8,9.8,20.1,-4
-24.3,9.8,20.1,-4
-24.4,9.7,20.1,-4.1
-23.9,9.6,20,-4
-24.4,9.6,20,-4.1
-24.5,9.6,20,-4.5
-23.9,9.5,19.9,-4.5
-24.2,9.6,20,-4.5
-24.7,9.5,20,-4.8
-24.2,9.3,20.1,-4.9
-24.1,9.5,19.9,-4.7
-24.7,9.4,19.9,-4.8
-24.4,9.3,19.9,-5
-23.9,9.3,19.9,-5
-24.5,9.4,19.9,-4.8
-24.7,9.3,19.9,-5
-24.1,9.2,19.9,-5.1
-24.2,9.2,19.9,-5
-24.6,9.3,19.9,-4.9
-24.2,9.2,20,-5
-24,9.2,19.9,-5
-24.6,9.2,19.9,-4.9
-24.4,9.1,19.8,-5.1
-24,9.2,19.8,-5
-22.7,9.5,19.6,-4
-17.6,9.4,20.2,-0.7
-15.1,10.4,20.4,1.1
-6.5,11,20.5,2.3
-5.7,11.8,20.5,3.7
-4.5,12.3,20.5,4.7
-3.3,12.9,20.6,5.7
-3.4,13.5,20.7,6.6
-3.2,13.9,20.7,7.3
-2,14.3,20.8,8.1
-2,14.8,20.7,8.9
-19.9,14.4,20.6,6
-22,12.8,20.5,2.3
-23.6,11.8,20.4,0.4
-23.6,11.2,20.3,-1
-23.3,10.8,20.4,-1.6
-24.1,10.6,20.2,-2.2
-24.5,10.4,20.1,-2.8
-23.9,10.1,20.1,-3.2
-23.8,10,20.1,-3.1
-24.5,10,20,-3.2
-24.1,9.9,20,-3.6
-23.9,9.8,20,-3.7
-24.5,9.8,20,-4
-24.5,9.6,20,-4.3
-23.9,9.7,19.9,-4.2
-24.4,9.6,19.9,-4.3
-24.6,9.6,19.9,-4.5
-24.1,9.4,19.8,-4.7
-24.3,9.5,19.9,-4.4
-24.8,9.5,19.9,-4.6
-24.3,9.4,19.8,-4.8
-24,9.4,19.9,-4.8
-24.7,9.5,19.9,-4.7
-24.3,9.5,19.9,-4.8
-24.1,9.4,19.9,-4.8
-24.7,9.4,19.9,-4.8
-24.5,9.4,19.8,-4.9
-24,9.4,19.8,-4.8
-24.5,9.4,19.9,-4.9
-24.6,9.3,19.8,-5
-24,9.3,19.8,-4.9
-24.2,9.3,19.8,-4.8
-24.7,9.2,19.8,-4.9
-24.3,9.1,19.8,-5
-23.9,9.2,19.8,-4.8
-18.9,9.3,20.2,-1.9
-16.5,10,20.2,0.9
-7.4,10.8,20.3,1.7
-6.6,11.5,20.3,3.3
-4.9,12.2,20.4,4.5
-4.5,12.7,20.5,5.5
-4.1,13.2,20.6,6.2
-3.4,13.7,20.5,7.1
-2.9,14.1,20.6,7.9
-3.5,14.5,20.8,8.7
-18.1,14.7,20.6,7.5
-21.3,13.3,20.5,3.6
-23.3,12.1,20.3,1
-23.8,11.3,20.2,-0.6
-23.4,10.9,20.1,-1.4
-24.1,10.6,20.1,-1.9
-24.5,10.4,20.2,-2.5
-23.9,10.1,20,-3
-24.1,10.1,20,-3
-24.8,10,19.9,-3.5
-24.4,9.8,19.9,-3.7
-23.8,9.7,19.9,-3.4
-24.6,9.8,19.9,-3.6
-24.5,9.7,19.8,-4
-23.9,9.6,19.9,-4.1
-24.5,9.6,19.9,-4.1
-24.8,9.5,19.9,-4.3
